Time,Conductivity,Dissolved Oxygen,Temperature,Turbidity
2021-08-30 00:22:00+00:00,672,7.15625,26.625,0.15918
2021-08-30 00:52:00+00:00,672,7.09375,26.625,0.15918
2021-08-30 01:21:00+00:00,672,7.03125,26.625,0.15918
2021-08-30 01:50:00+00:00,676,6.96875,26.625,0.15918
2021-08-30 02:19:00+00:00,676,6.90625,26.625,0.15918
2021-08-30 02:49:00+00:00,676,6.875,26.625,0.15918
2021-08-30 03:18:00+00:00,672,6.875,26.5,0.15918
2021-08-30 03:47:00+00:00,672,6.84375,26.5,0.15918
2021-08-30 04:16:00+00:00,672,6.78125,26.375,0.15918
2021-08-30 04:46:00+00:00,672,6.75,26.25,0.15918
2021-08-30 05:15:00+00:00,672,6.6875,26.25,0.15918
2021-08-30 05:44:00+00:00,672,6.625,26.125,0.15918
2021-08-30 06:13:00+00:00,672,6.625,26.125,0.15918
2021-08-30 06:43:00+00:00,672,6.5625,26,0.15918
2021-08-30 07:12:00+00:00,676,6.53125,25.875,0.15918
2021-08-30 07:41:00+00:00,676,6.53125,25.875,0.15918
2021-08-30 08:10:00+00:00,676,6.5,25.75,0.15918
2021-08-30 08:40:00+00:00,676,6.46875,25.75,0.15918
2021-08-30 09:09:00+00:00,672,6.5,25.625,0.15918
2021-08-30 09:38:00+00:00,676,6.4375,25.5,0.15918
2021-08-30 10:07:00+00:00,676,6.46875,25.5,0.15918
2021-08-30 10:37:00+00:00,676,6.40625,25.375,0.15918
2021-08-30 11:06:00+00:00,672,6.4375,25.375,0.15918
2021-08-30 11:35:00+00:00,676,6.4375,25.25,0.15918
2021-08-30 12:04:00+00:00,676,6.40625,25.25,0.15918
2021-08-30 12:34:00+00:00,676,6.40625,25.25,0.15918
2021-08-30 13:03:00+00:00,676,6.4375,25.25,0.15918
2021-08-30 13:32:00+00:00,676,6.46875,25.25,0.15918
2021-08-30 14:01:00+00:00,676,6.5,25.375,0.15918
2021-08-30 14:31:00+00:00,680,6.5,25.375,0.15918
2021-08-30 15:00:00+00:00,676,6.53125,25.5,0.15918
2021-08-30 15:29:00+00:00,676,6.5625,25.5,0.15918
2021-08-30 15:58:00+00:00,676,6.5625,25.5,0.15918
2021-08-30 16:28:00+00:00,676,6.5625,25.5,0.15918
2021-08-30 16:57:00+00:00,672,7.125,26.375,0.15918
