timedate,Calcium,Magnesium,Potassium,Sodium,Chlorides,Nitrates,Sulfates,Discharge
,mmol/L,mmol/L,mmol/L,mmol/L,mmol/L,mmol/L,mmol/L,m3/s
2021-08-20 16:08:00+00:00,1.69,1.07,0.07,0.38,0.54,0.19,0.25,10.73
2021-08-20 16:38:00+00:00,1.71,1.09,0.06,0.38,0.54,0.21,0.24,10.53
2021-08-20 17:07:00+00:00,1.7,1.09,0.06,0.38,0.55,0.21,0.24,10.53
2021-08-20 17:36:00+00:00,1.7,1.08,0.06,0.38,0.55,0.21,0.24,10.39
2021-08-20 18:05:00+00:00,1.7,1.09,0.06,0.38,0.55,0.21,0.24,10.39
2021-08-20 18:35:00+00:00,1.7,1.08,0.06,0.38,0.55,0.21,0.24,10.34
2021-08-20 19:04:00+00:00,1.7,1.09,0.06,0.38,0.55,0.21,0.24,10.22
2021-08-20 19:33:00+00:00,1.69,1.08,0.06,0.38,0.55,0.21,0.24,10.19
2021-08-20 20:02:00+00:00,1.71,1.08,0.06,0.38,0.55,0.21,0.24,10.08
2021-08-20 20:32:00+00:00,1.7,1.08,0.06,0.38,0.55,0.21,0.24,10
2021-08-20 21:01:00+00:00,1.69,1.07,0.06,0.38,0.55,0.21,0.24,9.94
2021-08-20 21:30:00+00:00,1.7,1.09,0.06,0.38,0.56,0.21,0.24,9.88
2021-08-20 21:59:00+00:00,1.7,1.09,0.06,0.38,0.56,0.21,0.24,9.83
2021-08-20 22:29:00+00:00,1.7,1.09,0.06,0.39,0.56,0.21,0.25,9.8
2021-08-20 22:58:00+00:00,1.71,1.09,0.07,0.39,0.57,0.21,0.25,9.68
2021-08-20 23:27:00+00:00,1.71,1.1,0.06,0.39,0.57,0.22,0.25,9.6
2021-08-21 19:02:00+00:00,,,,,,,,7.82
2021-08-21 19:13:00+00:00,1.76,1.13,0.06,0.41,0.59,0.2,0.24,7.73
2021-08-21 19:42:00+00:00,1.74,1.13,0.06,0.41,0.59,0.2,0.24,7.73
2021-08-21 20:11:00+00:00,1.76,1.14,0.06,0.41,0.59,0.2,0.24,7.65
2021-08-21 20:40:00+00:00,1.77,1.14,0.06,0.41,0.59,0.2,0.24,7.65
2021-08-21 21:10:00+00:00,1.77,1.14,0.06,0.41,0.59,0.2,0.24,7.56
2021-08-21 21:39:00+00:00,1.78,1.14,0.06,0.41,0.59,0.2,0.24,7.62
2021-08-21 22:08:00+00:00,1.78,1.15,0.06,0.41,0.59,0.2,0.24,7.53
2021-08-21 22:38:00+00:00,1.78,1.15,0.06,0.41,0.59,0.2,0.24,7.53
2021-08-21 23:07:00+00:00,1.78,1.15,0.06,0.41,0.59,0.2,0.24,7.48
2021-08-21 23:36:00+00:00,1.79,1.15,0.06,0.41,0.59,0.2,0.24,7.45
2021-08-22 00:05:00+00:00,1.79,1.15,0.06,0.41,0.59,0.2,0.24,7.48
2021-08-22 00:35:00+00:00,1.79,1.15,0.06,0.41,0.59,0.2,0.24,7.36
2021-08-22 01:04:00+00:00,1.8,1.15,0.06,0.41,0.59,0.2,0.24,7.39
2021-08-22 01:33:00+00:00,1.79,1.16,0.06,0.42,0.6,0.2,0.24,7.36
2021-08-22 02:03:00+00:00,1.78,1.14,0.06,0.42,0.6,0.2,0.24,7.36
2021-08-22 02:32:00+00:00,1.8,1.16,0.06,0.42,0.6,0.2,0.24,7.22
2021-08-22 03:01:00+00:00,1.8,1.16,0.06,0.42,0.6,0.2,0.24,7.19
2021-08-22 03:30:00+00:00,1.8,1.16,0.06,0.42,0.61,0.2,0.25,7.19
2021-08-22 04:00:00+00:00,1.81,1.17,0.06,0.42,0.61,0.2,0.25,7.19
2021-08-22 04:29:00+00:00,1.81,1.17,0.06,0.43,0.61,0.19,0.25,7.14
2021-08-22 04:58:00+00:00,1.81,1.17,0.06,0.43,0.61,0.2,0.25,7.02
2021-08-22 05:27:00+00:00,1.81,1.17,0.06,0.43,0.61,0.19,0.25,7.05
2021-08-22 05:57:00+00:00,1.81,1.17,0.06,0.43,0.61,0.19,0.25,6.97
2021-08-22 06:26:00+00:00,1.81,1.17,0.06,0.43,0.61,0.19,0.25,6.97
2021-08-22 06:55:00+00:00,1.81,1.17,0.06,0.43,0.62,0.19,0.25,6.94
2021-08-22 07:25:00+00:00,1.8,1.15,0.06,0.43,0.62,0.19,0.25,6.94
2021-08-22 07:54:00+00:00,1.82,1.17,0.06,0.44,0.62,0.19,0.25,6.85
2021-08-22 08:23:00+00:00,1.82,1.17,0.06,0.44,0.62,0.19,0.25,6.94
2021-08-22 08:52:00+00:00,1.82,1.18,0.06,0.44,0.62,0.19,0.25,6.94
2021-08-22 09:22:00+00:00,1.83,1.18,0.06,0.44,0.62,0.19,0.25,6.82
2021-08-22 09:51:00+00:00,1.83,1.18,0.06,0.44,0.63,0.19,0.25,6.82
2021-08-22 10:20:00+00:00,1.83,1.18,0.06,0.44,0.63,0.19,0.25,6.82
2021-08-22 10:50:00+00:00,1.83,1.18,0.06,0.44,0.63,0.19,0.25,6.74
2021-08-22 11:19:00+00:00,1.83,1.18,0.06,0.44,0.63,0.19,0.25,6.82
2021-08-22 11:48:00+00:00,1.83,1.18,0.06,0.44,0.63,0.19,0.25,6.77
2021-08-22 12:17:00+00:00,1.83,1.18,0.06,0.44,0.63,0.19,0.25,6.65
2021-08-22 12:47:00+00:00,1.83,1.19,0.06,0.44,0.63,0.19,0.25,6.65
2021-08-22 13:16:00+00:00,1.83,1.19,0.06,0.44,0.63,0.19,0.25,6.65
2021-08-22 13:45:00+00:00,1.84,1.18,0.06,0.44,0.63,0.19,0.25,6.65
2021-08-22 14:14:00+00:00,1.84,1.19,0.06,0.44,0.63,0.19,0.25,6.65
2021-08-22 14:44:00+00:00,1.84,1.19,0.07,0.45,0.63,0.18,0.25,6.54
2021-08-22 15:13:00+00:00,1.84,1.19,0.06,0.45,0.63,0.18,0.25,6.6
2021-08-22 15:42:00+00:00,1.84,1.19,0.06,0.45,0.63,0.18,0.25,6.48
2021-08-22 16:11:00+00:00,1.84,1.19,0.06,0.45,0.63,0.18,0.25,6.54
2021-08-22 16:41:00+00:00,1.85,1.19,0.06,0.45,0.63,0.18,0.26,6.54
2021-08-22 17:10:00+00:00,1.84,1.19,0.06,0.45,0.63,0.18,0.26,6.48
2021-08-22 17:39:00+00:00,1.85,1.2,0.06,0.45,0.63,0.18,0.26,6.4
2021-08-22 18:08:00+00:00,1.85,1.2,0.06,0.45,0.63,0.18,0.26,6.46
2021-08-22 18:37:00+00:00,1.85,1.2,0.06,0.45,0.63,0.18,0.26,6.4
2021-08-22 19:07:00+00:00,1.85,1.2,0.06,0.45,0.63,0.18,0.26,6.39
