date_time,Ca mg/l,Mg mg/l,K mg/l,NO3-N mg/l,Cl mg/l,Na mg/l,SO4 mg/l,Flow cumecs,LogQ,dayno,Date
2007-06-19 14:00:00,0.63,0.63,0.09,0.13197501,6.54611993,3.68,1.94290914,0.03394,-1.4692881620183431,170.791667,2007-06-19 14:00:00
2007-06-19 21:00:00,0.66,0.64,0.11,0.14007587,6.2982806,3.68,1.83179573,0.03544,-1.450506286784987,171.083333,2007-06-19 21:00:00
2007-06-20 04:00:00,0.6,0.61,0.09,0.12588347,6.34421236,3.52,2.06000624,0.03469,-1.4597957001579402,171.375,2007-06-20 04:00:00
2007-06-20 11:00:00,0.6,0.61,0.09,0.11808432,6.56073822,3.52,1.92967757,0.03394,-1.4692881620183431,171.666667,2007-06-20 11:00:00
2007-06-20 18:00:00,0.64,0.64,0.08,0.13730817,6.45027517,3.6,1.92486444,0.03469,-1.4597957001579402,171.958333,2007-06-20 18:00:00
2007-06-21 01:00:00,0.64,0.62,0.08,0.14298013,6.45690035,3.47,2.00668263,0.03469,-1.4597957001579402,172.25,2007-06-21 01:00:00
2007-06-21 08:00:00,0.62,0.62,0.1,0.12249619,6.28050577,3.57,1.910866375,0.03394,-1.4692881620183431,172.541667,2007-06-21 08:00:00
2007-06-21 15:00:00,0.64,0.64,0.09,0.13114961,7.05500562,3.6,1.81505012,0.03772,-1.4234283159347092,172.833333,2007-06-21 15:00:00
2007-06-21 22:00:00,0.65,0.65,0.12,0.16227378,6.52114925,3.56,1.8902126,0.03544,-1.450506286784987,173.125,2007-06-21 22:00:00
2007-06-22 05:00:00,0.6,0.61,0.08,0.12085705,6.66729805,3.53,1.94544094,0.03469,-1.4597957001579402,173.416667,2007-06-22 05:00:00
2007-06-22 12:00:00,0.62,0.61,0.12,0.12569553,6.41969383,3.56,1.88125994,0.06066,-1.2170975940253552,173.708333,2007-06-22 12:00:00
2007-06-22 19:00:00,0.63,0.64,0.1,0.12420466,6.88895055,3.58,1.87506011,0.04858,-1.3135424895308883,174.0,2007-06-22 19:00:00
2007-06-23 02:00:00,0.6,0.63,0.07,0.11814385,6.95304715,3.57,2.03697548,0.04155,-1.3814289718798702,174.291667,2007-06-23 02:00:00
2007-06-23 09:00:00,0.59,0.61,0.09,0.10953652,6.25932246,3.65,1.93177026,0.03925,-1.4061603389187287,174.583333,2007-06-23 09:00:00
2007-06-23 16:00:00,0.6,0.62,0.1,0.11311035,6.50854937,3.35,1.91169561,0.0775,-1.1106982974936896,174.875,2007-06-23 16:00:00
2007-06-23 23:00:00,0.56,0.61,0.09,0.11691165,5.99564432,3.48,1.89067566,0.06982,-1.1560201555218401,175.166667,2007-06-23 23:00:00
2007-06-24 06:00:00,0.54,0.59,0.1,0.11551502,6.15851251,3.49,1.92345517,0.06479,-1.1884920200546734,175.458333,2007-06-24 06:00:00
2007-06-24 13:00:00,0.55,0.6,0.08,0.12110446,6.17125369,3.44,1.98844733,0.06066,-1.2170975940253552,175.75,2007-06-24 13:00:00
2007-06-24 20:00:00,0.57,0.6,0.09,0.13219288,6.28398863,3.55,2.01009225,0.05902,-1.2290007948360593,176.041667,2007-06-24 20:00:00
2007-06-25 03:00:00,0.55,0.59,0.1,0.10917157,6.16413929,3.26,1.73324825,0.16428,-0.7844153058183851,176.333333,2007-06-25 03:00:00
2007-06-25 10:00:00,0.39,0.47,0.1,0.11567739,5.17259069,2.94,1.8182569,0.34373,-0.4637825619393633,176.625,2007-06-25 10:00:00
2007-06-25 17:00:00,0.38,0.48,0.09,0.12427473,6.08937623,3.19,2.0481629,0.19979,-0.6994262531145659,176.916667,2007-06-25 17:00:00
2007-06-26 00:00:00,0.41,0.51,0.07,0.11359834,5.52857659,3.25,2.12058478,0.15189,-0.8184708178934966,177.208333,2007-06-26 00:00:00
2007-06-26 07:00:00,0.42,0.53,0.09,0.11145472,5.64643299,3.37,2.17719052,0.127,-0.8961962790440431,177.5,2007-06-26 07:00:00
2007-06-26 14:00:00,0.47,0.57,0.07,0.1035016,5.50605641,3.53,2.59301474,0.11078,-0.9555386391893351,177.791667,2007-06-26 14:00:00
2007-06-26 21:00:00,0.47,0.56,0.07,0.1109009,5.48683769,3.5,2.11794366,0.10335,-0.985689519036693,178.083333,2007-06-26 21:00:00
2007-06-27 04:00:00,0.49,0.57,0.09,0.09323738,5.54156118,3.44,2.16040273,0.10798,-0.9666566768647763,178.375,2007-06-27 04:00:00
2007-06-27 11:00:00,0.48,0.56,0.09,0.09374928,5.59782165,3.54,2.12431313,0.09514,-1.021636852916117,178.666667,2007-06-27 11:00:00
2007-06-27 18:00:00,0.49,0.57,0.11,0.1144099,5.64133647,3.51,2.0923003749999998,0.08887,-1.0512448198317301,178.958333,2007-06-27 18:00:00
2007-06-28 01:00:00,0.5,0.59,0.07,0.10395787,5.52649045,3.52,2.06028762,0.08358,-1.0778976331923928,179.25,2007-06-28 01:00:00
2007-06-28 08:00:00,0.5,0.58,0.08,0.09903974,5.4165457,3.57,2.02729423,0.07578,-1.1204453990610257,179.541667,2007-06-28 08:00:00
2007-06-28 15:00:00,0.51,0.59,0.09,0.0947217,5.38823862,3.47,1.95220935,0.09514,-1.021636852916117,179.833333,2007-06-28 15:00:00
2007-06-28 22:00:00,0.41,0.48,0.07,0.07364008,4.23109681,2.97,1.53793645,0.34107,-0.4671564787967616,180.125,2007-06-28 22:00:00
2007-06-29 05:00:00,0.37,0.46,0.09,0.07597295,4.51991943,3.08,1.82007153,0.24328,-0.6138935928639243,180.416667,2007-06-29 05:00:00
2007-06-29 12:00:00,0.55,0.47,0.09,0.07830582,4.85454447,3.32,1.95185488,0.17058,-0.7680718899259142,180.708333,2007-06-29 12:00:00
