,Date,Statut,Chromechant,cond,COT,DOxygen,Debit,pH,Pression,TempRiver,TempContainer,Turbidity,Turb,Chrom1,Chrom2,Eau,TG,Filtre,Acide1,Base1,Acide,Base,AC,StatutCM,UPS ,Type,Lithium,Magnesium,Potassium,Calcium,Sodium,Strontium,Fluorures,Sulfates,Nitrates,Chlorures,Phosphate,DebitRiv,discharge
952,2015-06-12 15:52:00,4,5.0,721.0,27.53,8.94,759.0,8.29,4.9,18.26,30.5,12.68,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35147736625514403,0.08102557544757033,3.011805486284289,0.6093608695652174,,0.2614,0.6684224765868887,0.8780725806451612,0.9746873239436619,0.5879,160.0,0.16
982,2015-06-12 16:22:00,4,0.0,720.0,30.49,8.9,759.0,8.3,3.8,18.35,30.4,11.75,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3498559670781893,0.08244245524296676,3.0134064837905234,0.6067521739130435,,0.1288,0.6685421436004162,0.8782693548387097,0.9727211267605633,,157.0,0.157
1012,2015-06-12 16:52:00,4,0.0,720.0,26.59,8.85,757.0,8.29,2.9,18.41,28.7,11.87,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.350917695473251,0.08054219948849105,3.011231920199501,0.6087913043478261,,0.1297,0.6698616024973986,0.879791935483871,0.97463661971831,,157.6,0.1576
1042,2015-06-12 17:22:00,4,0.0,721.0,30.3,8.79,772.0,8.3,5.2,18.5,26.5,11.91,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35153497942386824,0.0801841432225064,3.011062344139651,0.6073521739130434,,0.1266,0.6730884495317379,0.8825354838709677,0.9763605633802818,,160.0,0.16
1072,2015-06-12 17:52:00,4,0.0,721.0,26.89,8.71,759.0,8.29,4.0,18.5,25.3,12.05,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35041975308641976,0.08053196930946291,3.0069999999999997,0.6086086956521739,,0.1242,0.6716097814776276,0.8837903225806452,0.9770169014084508,,164.6,0.1646
1102,2015-06-12 18:22:00,4,0.0,721.0,28.52,8.66,759.0,8.28,3.7,18.52,25.2,14.64,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.34863374485596704,0.08131457800511509,3.0003366583541147,0.6038173913043479,,0.1282,0.6694536940686786,0.8826483870967743,0.9749971830985916,,164.0,0.164
1132,2015-06-12 18:52:00,4,0.0,721.0,28.37,8.63,755.0,8.28,5.3,18.52,25.5,21.42,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3485226337448559,0.08135549872122762,2.9982443890274313,0.6014478260869565,,0.1299,0.6689979188345474,0.8831161290322581,0.9727774647887324,,164.0,0.164
1162,2015-06-12 19:22:00,4,0.0,722.0,29.69,8.55,759.0,8.28,4.1,18.46,25.6,13.65,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3487037037037037,0.08194117647058823,2.9975137157107232,0.6006391304347826,,0.1221,0.6702018730489074,0.8838338709677419,0.971425352112676,0.4017,164.0,0.164
1192,2015-06-12 19:52:00,4,0.0,723.0,28.54,8.55,759.0,8.26,3.5,18.41,25.5,12.31,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3490905349794239,0.08150895140664961,2.996376558603491,0.5990826086956522,,0.1238,0.6724921956295525,0.8841645161290322,0.9699971830985915,0.4211,159.4,0.15940000000000001
1222,2015-06-12 20:22:00,4,0.0,724.0,27.99,8.5,761.0,8.26,4.8,18.36,25.1,12.14,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3507283950617284,0.08145012787723785,3.001750623441396,0.5988391304347827,,0.126,0.6769791883454734,0.8853967741935483,0.9701098591549295,0.3789,157.0,0.157
1252,2015-06-12 20:52:00,4,0.0,725.0,28.75,8.49,759.0,8.26,3.3,18.32,24.8,11.99,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35266255144032915,0.08164450127877237,3.0038703241895264,0.5988,,0.1261,0.6794401664932362,0.8841274193548387,0.9684056338028169,,157.0,0.157
1282,2015-06-12 21:22:00,4,0.0,725.0,28.48,8.47,776.0,8.24,5.4,18.23,24.4,14.46,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3538436213991769,0.08158823529411764,3.0059725685785534,0.5972304347826087,,0.131,0.6812445369406869,0.8827,0.966918309859155,0.4108,159.4,0.15940000000000001
1312,2015-06-12 21:52:00,4,0.0,726.0,27.07,8.47,759.0,8.24,4.1,18.15,24.1,12.19,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35440329218107,0.08157033248081841,3.007733167082294,0.5958739130434783,,0.1296,0.6815275754422476,0.8794403225806452,0.9656676056338027,,157.6,0.1576
1342,2015-06-12 22:22:00,4,0.0,727.0,30.22,8.53,774.0,8.24,4.0,18.04,23.9,12.2,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3557201646090535,0.08178005115089514,3.020266832917706,0.5980826086956522,,0.1276,0.6812424557752341,0.8778290322580645,0.9662788732394366,,157.0,0.157
1372,2015-06-12 22:52:00,4,0.0,730.0,28.08,8.57,774.0,8.23,5.2,17.95,23.6,12.01,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3561152263374486,0.08173145780051151,3.021783042394015,0.5998652173913044,,0.1288,0.6836160249739854,0.8774629032258064,0.967374647887324,0.3702,157.0,0.157
1403,2015-06-12 23:23:00,4,0.0,731.0,28.44,8.59,759.0,8.22,4.0,17.84,23.6,11.83,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3567448559670782,0.08190281329923273,3.025219451371571,0.6016478260869565,,0.1295,0.6870863683662851,0.878216129032258,0.9687042253521128,0.3313,157.9,0.1579
1433,2015-06-12 23:53:00,4,0.0,731.0,28.25,8.61,761.0,8.23,4.8,17.77,23.4,11.93,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3552798353909465,0.08184910485933504,3.02415710723192,0.6024782608695652,,0.1267,0.6831706555671175,0.8785838709677419,0.9708957746478873,0.3778,164.9,0.16490000000000002
1463,2015-06-13 00:23:00,4,0.0,731.0,28.73,8.69,772.0,8.23,4.5,17.71,23.5,12.19,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35272839506172843,0.08165217391304348,3.0272867830423937,0.6014652173913043,,0.1254,0.6780332986472426,0.8799048387096774,0.9722056338028169,0.3909,164.0,0.164
1493,2015-06-13 00:53:00,4,0.0,732.0,29.1,8.69,774.0,8.24,2.5,17.59,23.4,12.23,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3524074074074074,0.08186700767263427,3.030057356608479,0.6032434782608695,,0.1273,0.675222684703434,0.8819370967741936,0.9715915492957747,,164.9,0.16490000000000002
1523,2015-06-13 01:23:00,4,0.0,732.0,30.07,8.75,774.0,8.24,4.9,17.48,23.3,12.12,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35156790123456794,0.08203324808184143,3.029139650872818,0.6045652173913043,,0.1247,0.6725848074921957,0.8847693548387097,0.9743408450704226,0.4178,164.0,0.164
1553,2015-06-13 01:53:00,4,0.0,732.0,28.63,8.81,764.0,8.24,3.3,17.34,23.3,12.24,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3512633744855967,0.08245524296675193,3.026798004987531,0.6066173913043478,,0.123,0.6695369406867846,0.8856935483870967,0.9758084507042253,,164.0,0.164
1583,2015-06-13 02:23:00,4,0.0,733.0,28.45,8.85,759.0,8.23,5.3,17.21,23.3,12.22,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35112757201646094,0.08269565217391305,3.027019950124688,0.6083739130434782,,0.1232,0.6675504682622269,0.8866209677419356,0.9768366197183099,,166.1,0.1661
1613,2015-06-13 02:53:00,4,0.0,733.0,28.81,8.88,774.0,8.23,3.4,17.08,23.3,12.55,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3516378600823045,0.08317135549872122,3.0307107231920196,0.6110695652173913,,0.1233,0.6661550468262227,0.8878387096774193,0.9781887323943663,0.4037,167.0,0.167
