Date,Mean NDVI,Date
2021-04-01,,2021-04-01
2021-04-02,,2021-04-02
2021-04-03,,2021-04-03
2021-04-04,,2021-04-04
2021-04-05,,2021-04-05
2021-04-06,,2021-04-06
2021-04-07,,2021-04-07
2021-04-08,,2021-04-08
2021-04-09,,2021-04-09
2021-04-10,,2021-04-10
2021-04-11,,2021-04-11
2021-04-12,,2021-04-12
2021-04-13,,2021-04-13
2021-04-14,,2021-04-14
2021-04-15,,2021-04-15
2021-04-16,,2021-04-16
2021-04-17,0.2407562546965048,2021-04-17
2021-04-18,0.2410818958130853,2021-04-18
2021-04-19,0.2414075369296657,2021-04-19
2021-04-20,0.2420588191628266,2021-04-20
2021-04-21,0.2427101013959875,2021-04-21
2021-04-22,0.2380883662108081,2021-04-22
2021-04-23,0.2281936136072883,2021-04-23
2021-04-24,0.2220481706790085,2021-04-24
2021-04-25,0.2385469500668159,2021-04-25
2021-04-26,0.2580121901261678,2021-04-26
2021-04-27,0.271421563763484,2021-04-27
2021-04-28,0.2651531757562576,2021-04-28
2021-04-29,0.2535249128323016,2021-04-29
2021-04-30,0.2365367749916161,2021-04-30
2021-05-01,0.2308543059876857,2021-05-01
2021-05-02,0.24183738073724,2021-05-02
2021-05-03,0.2694859992402789,2021-05-03
2021-05-04,0.2842211808401922,2021-05-04
2021-05-05,0.28604292553698,2021-05-05
2021-05-06,0.2749512333306422,2021-05-06
2021-05-07,0.2683883516048505,2021-05-07
2021-05-08,0.2663542803596048,2021-05-08
2021-05-09,0.2688490195949051,2021-05-09
2021-05-10,0.2713437588302054,2021-05-10
2021-05-11,0.2729656783499665,2021-05-11
2021-05-12,0.2547773675559751,2021-05-12
2021-05-13,0.2468090370715959,2021-05-13
2021-05-14,0.2499335066123683,2021-05-14
2021-05-15,0.2777659068902678,2021-05-15
2021-05-16,0.3002760272819297,2021-05-16
2021-05-17,0.3174638677873541,2021-05-17
2021-05-18,0.3346517082927785,2021-05-18
2021-05-19,0.3518395487982029,2021-05-19
2021-05-20,0.3690273893036273,2021-05-20
2021-05-21,0.3862152298090516,2021-05-21
2021-05-22,0.403403070314476,2021-05-22
2021-05-23,0.4205909108199004,2021-05-23
2021-05-24,0.4377787513253248,2021-05-24
2021-05-25,0.4549665918307491,2021-05-25
2021-05-26,0.4502715366093554,2021-05-26
2021-05-27,0.4236935856611437,2021-05-27
2021-05-28,0.3752327389861138,2021-05-28
2021-05-29,0.3428989566061063,2021-05-29
2021-05-30,0.326692238521121,2021-05-30
2021-05-31,0.3266125847311581,2021-05-31
2021-06-01,0.326532930941195,2021-06-01
2021-06-02,0.3195323489239182,2021-06-02
2021-06-03,0.3221398188313543,2021-06-03
2021-06-04,0.3289075621318699,2021-06-04
2021-06-05,0.3467565070527789,2021-06-05
2021-06-06,0.3591576734420541,2021-06-06
2021-06-07,0.3565034635537421,2021-06-07
2021-06-08,0.3606836817286036,2021-06-08
2021-06-09,0.3627222300712937,2021-06-09
2021-06-10,0.3815737159781565,2021-06-10
2021-06-11,0.395348335108431,2021-06-11
2021-06-12,0.3990202450411118,2021-06-12
2021-06-13,0.3973128860061233,2021-06-13
